"Site","ID","Green_Chl","Bluegreen_Chl","Diatom_Chl","Cryptophyte_Chl","Total_Chl","Yellow_Sub"
"Honeoye","230613_HB_9M_B",0.36,0.41,0.36,0.11,1.23,1.34
"Honeoye","230613_HN_7M_B",0.33,0.56,0.69,1.23,2.8,1.77
"Honeoye","230613_HN_7M_S",2.4,0.77,0.58,1.81,5.57,1.51
"Honeoye","230613_HN_9M_S",1.29,0.52,0.94,1.5,4.26,1.25
"MQ","CCB",0.02,0.08,0,0.01,0.1,0.01
"MQ","ICB",0,0.04,0.01,0.01,0.06,0
"Owasco","230613_OW_Buoy_B",0,0.11,0.03,0.37,0.51,1.05
"Owasco","230613_OW_Buoy_S",2.19,0.2,0.79,0.09,3.27,0.86
"Owasco","230613_OW_Buoy_T",1.95,0,2.33,0.19,4.46,0.94
