#,Lake info,Sample ID,Type,Start Time ,ml sample,ml MQ,Comments
1,MQ,ICB,Blank,14:09:31,25,0,
2,KE,230426_KLA_FB,Raw Water,14:21:56,25,0,
3,KE,230426_KLA_1,Raw Water,14:38:51,25,0,
4,KE,230426_KLA_3,Raw Water,14:45:49,25,0,
5,KE,230426_KLA_5,Raw Water,14:48:09,25,0,
6,KE,230426_KLA_7,Raw Water,14:50:52,25,0,
7,KE,230426_KLA_9,Raw Water,14:53:12,25,0,
8,KE,230426_KLA_10,Raw Water,14:57:56,25,0,
9,KE,230426_KLA_11,Raw Water,15:00:06,25,0,
10,KE,230426_KLA_12,Raw Water,15:02:27,25,0,Duplicate
11,KE,230426_KLA_12,Raw Water,15:22:49,25,0,Duplicate
12,MQ,CCB,Blank,15:25:05,25,0,
