"DateTime","Site","ID","Type","Start","dilution_factor","Greens","Cyano","Diatoms","Crypto","Yellow","Total","Greens_f","Cyano_f","Diatoms_f","Crypto_f","Yellow_f","Total_f","Transmission","Comments"
2023-07-10 13:41:00,"MQ","ICB","Blank","14:41:26",1,0,0.003,0.004,0.022,0.002,0.029,0,0.003,0.004,0.022,0.002,0.029,100,""
2023-07-10 13:44:00,"Honeoye","230710_HN_9M.S","Raw Water","14:44:24",1,2.08,6.185,6.73,0.186,0.803,15.181,2.08,6.185,6.73,0.186,0.803,15.181,100,"Duplicate"
2023-07-10 13:47:00,"Honeoye","230710_HN_9M.S","Raw Water","14:47:18",1,1.861,3.919,3.735,2.77,0.99,12.285,1.861,3.919,3.735,2.77,0.99,12.285,100,"Duplicate"
2023-07-10 13:50:00,"Honeoye","230710_HN_9M.B","Raw Water","14:50:11",1,0.039,0.926,0.444,0.769,1.347,2.178,0.039,0.926,0.444,0.769,1.347,2.178,100,""
2023-07-10 13:53:00,"Honeoye","230710_HN_7M.B","Raw Water","14:53:15",1,0.584,1.287,0.634,0.112,1.219,2.617,0.584,1.287,0.634,0.112,1.219,2.617,100,""
2023-07-10 13:55:48,"Honeoye","230710_HN_7M.S","Raw Water","14:55:56",1,4.257,5.355,3.119,5.727,0.966,18.458,4.257,5.355,3.119,5.727,0.966,18.458,100,""
2023-07-10 14:02:00,"CSC","230629_CSC_OI_S","Raw Water","15:02:21",1,0,0.262,0,0,1.056,0.262,0,0.262,0,0,1.056,0.262,100,""
2023-07-10 14:05:00,"PB","230629_PB_SO_S","Raw Water","15:05:11",1,3.049,3.385,0.553,0.074,2.885,7.061,3.049,3.385,0.553,0.074,2.885,7.061,100,""
2023-07-10 14:07:24,"SK","230629_SK_DE_S","Raw Water","15:07:44",1,0.006,0,0.388,0.098,0.262,0.492,0.006,0,0.388,0.098,0.262,0.492,100,""
2023-07-10 14:09:42,"SB","230629_SB_PL_S","Raw Water","15:09:53",1,7.77,0.55,2.523,1.761,1.263,12.604,7.77,0.55,2.523,1.761,1.263,12.604,100,""
2023-07-10 14:12:00,"OW","230629_OW_EM_S","Raw Water","15:12:05",1,0.037,0.221,0.025,0.432,0.851,0.715,0.037,0.221,0.025,0.432,0.851,0.715,100,""
2023-07-10 14:14:00,"MQ","CCB","Blank","15:14:16",1,0.004,0.091,0.001,0.006,0.006,0.102,0.004,0.091,0.001,0.006,0.006,0.102,100,""
